id,code,name,misc_category_reference
partner_industry_classification_00000,00000,NOT APPLICABLE,
partner_industry_classification_01111,01111,Growing of maize,A
partner_industry_classification_01112,01112,Growing of leguminous crops,A
partner_industry_classification_01113,01113,Growing of oil seeds,A
partner_industry_classification_01119,01119,Growing of other cereals n.e.c.,A
partner_industry_classification_01120,01120,Growing of paddy,A
partner_industry_classification_01131,01131,Growing of leafy or stem vegetables,A
partner_industry_classification_01132,01132,Growing of fruits bearing vegetables,A
partner_industry_classification_01133,01133,Growing of melons,A
partner_industry_classification_01134,01134,Growing of mushrooms and truffles,A
partner_industry_classification_01135,01135,"Growing of vegetables seeds, except beet seeds",A
partner_industry_classification_01136,01136,Growing of other vegetables,A
partner_industry_classification_01137,01137,Growing of sugar beet,A
partner_industry_classification_01138,01138,"Growing of roots, tubers, bulb or tuberous vegetables",A
partner_industry_classification_01140,01140,Growing of sugar cane,A
partner_industry_classification_01150,01150,Growing of tobacco,A
partner_industry_classification_01160,01160,Growing of fibre crops,A
partner_industry_classification_01191,01191,Growing of flowers,A
partner_industry_classification_01192,01192,Growing of flower seeds,A
partner_industry_classification_01193,01193,Growing of sago (rumbia),A
partner_industry_classification_01199,01199,Growing of other non-perennial crops n.e.c.,A
partner_industry_classification_01210,01210,Growing of grapes,A
partner_industry_classification_01221,01221,Growing of banana,A
partner_industry_classification_01222,01222,Growing of mango,A
partner_industry_classification_01223,01223,Growing of durian,A
partner_industry_classification_01224,01224,Growing of rambutan,A
partner_industry_classification_01225,01225,Growing of star fruit,A
partner_industry_classification_01226,01226,Growing of papaya,A
partner_industry_classification_01227,01227,Growing of pineapple,A
partner_industry_classification_01228,01228,Growing of pitaya (dragon fruit),A
partner_industry_classification_01229,01229,Growing of other tropical and subtropical fruits n.e.c.,A
partner_industry_classification_01231,01231,Growing of pomelo,A
partner_industry_classification_01232,01232,Growing of lemon and limes,A
partner_industry_classification_01233,01233,Growing of tangerines and mandarin,A
partner_industry_classification_01239,01239,Growing of other citrus fruits n.e.c.,A
partner_industry_classification_01241,01241,Growing of guava,A
partner_industry_classification_01249,01249,Growing of other pome fruits and stones fruits n.e.c.,A
partner_industry_classification_01251,01251,Growing of berries,A
partner_industry_classification_01252,01252,Growing of fruit seeds,A
partner_industry_classification_01253,01253,Growing of edible nuts,A
partner_industry_classification_01259,01259,Growing of other tree and bush fruits,A
partner_industry_classification_01261,01261,Growing of oil palm (estate),A
partner_industry_classification_01262,01262,Growing of oil palm (smallholdings),A
partner_industry_classification_01263,01263,Growing of coconut (estate and smallholdings),A
partner_industry_classification_01269,01269,Growing of other oleaginous fruits n.e.c.,A
partner_industry_classification_01271,01271,Growing of coffee,A
partner_industry_classification_01272,01272,Growing of tea,A
partner_industry_classification_01273,01273,Growing of cocoa,A
partner_industry_classification_01279,01279,Growing of other beverage crops n.e.c.,A
partner_industry_classification_01281,01281,Growing of pepper (piper nigrum),A
partner_industry_classification_01282,01282,Growing of chilies and pepper (capsicum spp.),A
partner_industry_classification_01283,01283,Growing of nutmeg,A
partner_industry_classification_01284,01284,Growing of ginger,A
partner_industry_classification_01285,01285,"Growing of plants used primarily in perfumery, in pharmacy or for insecticidal, fungicidal or similar purposes",A
partner_industry_classification_01289,01289,Growing of other spices and aromatic crops n.e.c.,A
partner_industry_classification_01291,01291,Growing  of rubber trees (estate),A
partner_industry_classification_01292,01292,Growing of rubber trees (smallholdings),A
partner_industry_classification_01293,01293,Growing of trees for extraction of sap,A
partner_industry_classification_01294,01294,Growing of nipa palm,A
partner_industry_classification_01295,01295,Growing of areca,A
partner_industry_classification_01296,01296,Growing of roselle,A
partner_industry_classification_01299,01299,Growing of other perennial crops n.e.c.,A
partner_industry_classification_01301,01301,Growing of plants for planting,A
partner_industry_classification_01302,01302,Growing of plants for ornamental purposes,A
partner_industry_classification_01303,01303,"Growing of live plants for bulbs, tubers and roots; cuttings and slips; mushroom spawn",A
partner_industry_classification_01304,01304,Operation of tree nurseries,A
partner_industry_classification_01411,01411,"Raising, breeding and production of cattle or buffaloes",A
partner_industry_classification_01412,01412,Production of raw milk from cows or buffaloes,A
partner_industry_classification_01413,01413,Production of bovine semen,A
partner_industry_classification_01420,01420,"Raising and breeding of horses, asses, mules or hinnes",A
partner_industry_classification_01430,01430,Raising and breeding of camels (dromedary) and camelids,A
partner_industry_classification_01441,01441,"Raising, breeding and production of sheep and goats",A
partner_industry_classification_01442,01442,Production of raw sheep or goat’s milk,A
partner_industry_classification_01443,01443,Production of raw wool,A
partner_industry_classification_01450,01450,"Raising, breeding and production of swine/pigs",A
partner_industry_classification_01461,01461,"Raising, breeding and production of chicken, broiler",A
